id_interaccion,id_cliente,id_producto,fecha_interaccion,canal,aceptado
INT_000095,CLI_000248,PRD_0023,2025-07-23,App Móvil,True
INT_000096,CLI_000829,PRD_0005,2025-04-11,Sucursal,False
INT_000097,CLI_000286,PRD_0049,2025-06-20,App Móvil,True
INT_000098,CLI_000022,PRD_0046,2025-04-08,Digital,True
INT_000099,CLI_000896,PRD_0039,2025-02-21,Digital,False
INT_000100,CLI_000249,PRD_0048,2025-02-14,Digital,False
INT_000101,CLI_000308,PRD_0045,2025-05-03,Digital,True
INT_000102,CLI_000274,PRD_0025,2024-10-05,Call Center,True
INT_000103,CLI_000246,PRD_0010,2025-04-11,App Móvil,True
INT_000104,CLI_000630,PRD_0001,2024-10-22,Sucursal,False
INT_000105,CLI_000778,PRD_0050,2025-06-01,Digital,False
INT_000106,CLI_000548,PRD_0009,2024-12-25,Call Center,False
INT_000107,CLI_000721,PRD_0018,2024-12-21,Digital,True
INT_000108,CLI_000709,PRD_0015,2025-02-09,Call Center,False
INT_000109,CLI_000751,PRD_0033,2025-03-10,App Móvil,True
INT_000110,CLI_000483,PRD_0043,2025-06-30,Sucursal,False
INT_000111,CLI_000067,PRD_0021,2025-02-24,App Móvil,False
INT_000112,CLI_000741,PRD_0049,2024-11-23,Sucursal,True
INT_000113,CLI_000728,PRD_0027,2025-02-15,Call Center,False
INT_000114,CLI_000585,PRD_0045,2025-03-18,Digital,False
INT_000115,CLI_000628,PRD_0001,2025-06-16,Call Center,True
INT_000116,CLI_000900,PRD_0008,2024-10-08,App Móvil,True
INT_000117,CLI_000642,PRD_0040,2025-09-01,App Móvil,False
INT_000118,CLI_000288,PRD_0001,2025-01-02,App Móvil,False
INT_000119,CLI_000045,PRD_0043,2025-04-20,Digital,True
INT_000120,CLI_000688,PRD_0016,2025-08-06,App Móvil,True
INT_000121,CLI_000331,PRD_0015,2025-01-26,Call Center,True
INT_000122,CLI_000835,PRD_0042,2024-11-10,Sucursal,False
INT_000123,CLI_000862,PRD_0031,2025-03-19,Digital,True
INT_000124,CLI_000676,PRD_0014,2024-12-07,App Móvil,False
INT_000125,CLI_000127,PRD_0004,2025-04-06,Digital,True
INT_000126,CLI_000277,PRD_0026,2024-11-21,Digital,False
INT_000127,CLI_000818,PRD_0032,2024-10-24,App Móvil,True
INT_000128,CLI_000971,PRD_0016,2025-05-04,Digital,False
INT_000129,CLI_000389,PRD_0020,2024-12-05,Sucursal,False
INT_000130,CLI_000547,PRD_0009,2025-07-27,Digital,True
INT_000131,CLI_000055,PRD_0033,2025-06-03,Digital,True
INT_000132,CLI_000048,PRD_0001,2025-07-02,App Móvil,True
INT_000133,CLI_000471,PRD_0015,2025-07-23,Sucursal,True
INT_000134,CLI_000837,PRD_0032,2025-03-03,App Móvil,False
INT_000135,CLI_000926,PRD_0018,2024-12-13,Digital,False
INT_000136,CLI_000111,PRD_0022,2025-06-30,Sucursal,True
INT_000137,CLI_000120,PRD_0042,2025-01-01,Call Center,False
INT_000138,CLI_000685,PRD_0012,2024-11-07,Call Center,False
INT_000139,CLI_000040,PRD_0029,2025-07-07,Call Center,False
INT_000140,CLI_000802,PRD_0033,2025-01-26,Digital,True
INT_000141,CLI_000671,PRD_0039,2025-06-30,App Móvil,True
INT_000142,CLI_000196,PRD_0041,2025-02-15,Sucursal,True
INT_000143,CLI_000467,PRD_0002,2025-04-03,Digital,False
INT_000144,CLI_000864,PRD_0021,2025-01-28,Digital,False
INT_000145,CLI_000502,PRD_0005,2025-03-21,Call Center,True
INT_000146,CLI_000065,PRD_0034,2025-01-18,Sucursal,False
INT_000147,CLI_000547,PRD_0009,2025-03-08,Digital,False
INT_000148,CLI_000506,PRD_0003,2025-03-05,App Móvil,False
INT_000149,CLI_000147,PRD_0014,2025-02-18,Digital,False
INT_000150,CLI_000235,PRD_0007,2025-08-22,Sucursal,True
INT_000151,CLI_000293,PRD_0015,2025-06-13,Call Center,False
INT_000152,CLI_000609,PRD_0012,2025-05-16,Call Center,True
INT_000153,CLI_000410,PRD_0037,2025-05-09,App Móvil,True
INT_000154,CLI_000887,PRD_0018,2025-02-11,Sucursal,True
INT_000155,CLI_000004,PRD_0020,2025-01-23,Digital,False
INT_000156,CLI_000393,PRD_0036,2025-08-07,App Móvil,False
INT_000157,CLI_000792,PRD_0043,2025-05-19,Sucursal,False
INT_000158,CLI_000219,PRD_0028,2025-03-30,App Móvil,False
INT_000159,CLI_000547,PRD_0034,2025-09-12,Digital,False
INT_000160,CLI_000576,PRD_0004,2025-02-20,App Móvil,False
INT_000161,CLI_000845,PRD_0005,2025-02-28,Sucursal,False
INT_000162,CLI_000265,PRD_0045,2024-11-03,Call Center,True
INT_000163,CLI_000067,PRD_0005,2025-05-04,App Móvil,False
INT_000164,CLI_000229,PRD_0044,2025-09-17,App Móvil,False
INT_000165,CLI_000572,PRD_0035,2025-04-08,App Móvil,False
INT_000166,CLI_000935,PRD_0017,2025-08-20,Sucursal,False
INT_000167,CLI_000318,PRD_0047,2025-08-04,Sucursal,True
INT_000168,CLI_000136,PRD_0008,2025-06-04,Sucursal,False
INT_000169,CLI_000749,PRD_0033,2024-12-06,App Móvil,True
INT_000170,CLI_000650,PRD_0016,2024-10-05,Sucursal,False
INT_000171,CLI_000138,PRD_0037,2025-02-26,Sucursal,False
INT_000172,CLI_000365,PRD_0035,2025-07-24,App Móvil,True
INT_000173,CLI_000955,PRD_0014,2025-06-20,Sucursal,False
INT_000174,CLI_000299,PRD_0012,2024-12-16,App Móvil,False
INT_000175,CLI_000411,PRD_0011,2025-05-13,Digital,True
INT_000176,CLI_000499,PRD_0016,2025-07-09,Digital,False
INT_000177,CLI_000592,PRD_0043,2024-10-08,Digital,True
INT_000178,CLI_000485,PRD_0039,2024-12-14,Call Center,True
INT_000179,CLI_000364,PRD_0041,2025-01-13,Sucursal,True
INT_000180,CLI_000185,PRD_0020,2024-10-21,Call Center,False
INT_000181,CLI_000463,PRD_0027,2025-07-26,App Móvil,False
INT_000182,CLI_000677,PRD_0013,2025-03-07,Digital,False
INT_000183,CLI_001000,PRD_0042,2025-05-15,Call Center,False
INT_000184,CLI_000076,PRD_0040,2025-07-31,Sucursal,False
INT_000185,CLI_000851,PRD_0018,2025-07-28,Call Center,False
INT_000186,CLI_000487,PRD_0012,2024-10-04,Sucursal,True
INT_000187,CLI_000540,PRD_0035,2025-05-30,Digital,True
INT_000188,CLI_000491,PRD_0013,2024-10-22,Sucursal,False
INT_000189,CLI_000096,PRD_0041,2025-07-23,Sucursal,True
INT_000190,CLI_000959,PRD_0034,2025-05-19,Digital,False
INT_000191,CLI_000050,PRD_0032,2025-03-25,Digital,False
INT_000192,CLI_000386,PRD_0031,2024-11-13,App Móvil,False
INT_000193,CLI_000099,PRD_0050,2025-08-17,Digital,False
INT_000194,CLI_000341,PRD_0049,2025-05-14,App Móvil,True
INT_000195,CLI_000652,PRD_0039,2025-03-29,Sucursal,False
INT_000196,CLI_000108,PRD_0043,2025-01-27,Digital,False
INT_000197,CLI_000510,PRD_0037,2025-10-02,Call Center,False
INT_000198,CLI_000585,PRD_0046,2025-08-17,Digital,False
INT_000199,CLI_000565,PRD_0018,2025-02-11,Digital,False
INT_000200,CLI_000566,PRD_0045,2024-10-11,App Móvil,False
INT_000201,CLI_000573,PRD_0042,2025-09-01,Call Center,True
INT_000202,CLI_000313,PRD_0049,2025-03-14,App Móvil,False
INT_000203,CLI_000399,PRD_0003,2025-02-26,App Móvil,True
INT_000204,CLI_000099,PRD_0044,2025-01-23,Digital,False
INT_000205,CLI_000078,PRD_0024,2025-05-11,Sucursal,True
INT_000206,CLI_000867,PRD_0034,2024-12-12,App Móvil,True
INT_000207,CLI_000052,PRD_0004,2025-01-28,Call Center,True
INT_000208,CLI_000664,PRD_0045,2024-10-19,Digital,False
INT_000209,CLI_000277,PRD_0041,2025-09-10,Digital,False
INT_000210,CLI_000858,PRD_0008,2025-02-10,Call Center,True
INT_000211,CLI_000823,PRD_0038,2025-07-15,Call Center,True
INT_000212,CLI_000325,PRD_0029,2025-10-03,Call Center,False
INT_000213,CLI_000875,PRD_0022,2025-02-26,Digital,False
INT_000214,CLI_000660,PRD_0025,2024-10-16,Sucursal,True
INT_000215,CLI_000238,PRD_0029,2024-11-05,App Móvil,False
INT_000216,CLI_000753,PRD_0041,2025-05-16,Call Center,True
INT_000217,CLI_000428,PRD_0007,2025-04-02,App Móvil,True
INT_000218,CLI_000606,PRD_0041,2025-03-27,App Móvil,True
INT_000219,CLI_000854,PRD_0023,2024-11-05,Call Center,False
INT_000220,CLI_000583,PRD_0033,2025-03-15,Sucursal,True
INT_000221,CLI_000960,PRD_0009,2024-10-10,App Móvil,False
INT_000222,CLI_000705,PRD_0033,2025-02-26,Call Center,False
INT_000223,CLI_000073,PRD_0024,2024-10-08,App Móvil,False
INT_000224,CLI_000343,PRD_0011,2025-06-16,Digital,True
INT_000225,CLI_000811,PRD_0041,2025-07-28,Digital,False
INT_000226,CLI_000086,PRD_0021,2025-01-11,App Móvil,False
INT_000227,CLI_000587,PRD_0009,2025-09-29,App Móvil,False
INT_000228,CLI_000631,PRD_0045,2025-04-11,Sucursal,True
INT_000229,CLI_000098,PRD_0011,2025-03-01,Digital,False
INT_000230,CLI_000365,PRD_0023,2025-02-01,App Móvil,False
INT_000231,CLI_000499,PRD_0017,2025-03-21,Digital,True
INT_000232,CLI_000945,PRD_0015,2025-08-12,Digital,True
INT_000233,CLI_000304,PRD_0033,2025-03-29,Sucursal,True
INT_000234,CLI_000971,PRD_0020,2025-07-25,Digital,False
INT_000235,CLI_000597,PRD_0014,2025-07-27,Digital,True
INT_000236,CLI_000795,PRD_0010,2024-10-22,App Móvil,True
INT_000237,CLI_000488,PRD_0025,2025-01-05,Sucursal,True
INT_000238,CLI_000620,PRD_0017,2024-11-25,Sucursal,False
INT_000239,CLI_000556,PRD_0036,2025-02-20,App Móvil,False
INT_000240,CLI_000707,PRD_0022,2025-06-16,Sucursal,True
INT_000241,CLI_000342,PRD_0018,2025-07-18,App Móvil,False
INT_000242,CLI_000239,PRD_0024,2024-11-22,App Móvil,False
INT_000243,CLI_000864,PRD_0045,2025-06-14,Digital,False
INT_000244,CLI_000729,PRD_0020,2025-08-13,Digital,True
INT_000245,CLI_000053,PRD_0041,2025-08-01,Call Center,True
INT_000246,CLI_000499,PRD_0040,2025-03-21,Digital,False
INT_000247,CLI_000668,PRD_0030,2025-02-26,Digital,True
INT_000248,CLI_000067,PRD_0017,2025-07-24,App Móvil,True
INT_000249,CLI_000492,PRD_0004,2024-11-07,Digital,True
INT_000250,CLI_000577,PRD_0003,2024-12-24,Call Center,True
INT_000251,CLI_000862,PRD_0033,2024-11-26,Digital,False
INT_000252,CLI_000500,PRD_0024,2024-10-15,Sucursal,False
INT_000253,CLI_000632,PRD_0010,2024-10-31,Sucursal,True
INT_000254,CLI_000133,PRD_0025,2025-06-20,Digital,False
INT_000255,CLI_000450,PRD_0011,2025-01-16,Call Center,True
INT_000256,CLI_000929,PRD_0015,2025-03-17,App Móvil,True
INT_000257,CLI_000987,PRD_0016,2025-09-06,Call Center,True
INT_000258,CLI_000136,PRD_0007,2025-06-03,Sucursal,False
INT_000259,CLI_000209,PRD_0036,2025-08-07,Sucursal,True
INT_000260,CLI_000558,PRD_0003,2024-11-11,Sucursal,True
INT_000261,CLI_000340,PRD_0021,2025-01-06,App Móvil,True
INT_000262,CLI_000618,PRD_0005,2025-09-27,Digital,False
INT_000263,CLI_000409,PRD_0018,2025-04-24,Call Center,False
INT_000264,CLI_000246,PRD_0010,2024-12-16,App Móvil,True
INT_000265,CLI_000212,PRD_0017,2024-12-28,Call Center,True
INT_000266,CLI_000042,PRD_0029,2025-02-04,App Móvil,False
INT_000267,CLI_000246,PRD_0037,2025-08-27,App Móvil,False
INT_000268,CLI_000086,PRD_0034,2025-08-30,App Móvil,True
INT_000269,CLI_000999,PRD_0009,2025-06-15,App Móvil,True
INT_000270,CLI_000480,PRD_0027,2025-09-03,Call Center,True
INT_000271,CLI_000299,PRD_0047,2025-03-14,App Móvil,False
INT_000272,CLI_000056,PRD_0034,2024-11-16,Call Center,False
INT_000273,CLI_000062,PRD_0020,2025-03-05,App Móvil,False
INT_000274,CLI_000270,PRD_0007,2025-03-12,Call Center,False
INT_000275,CLI_000867,PRD_0031,2025-01-02,App Móvil,True
INT_000276,CLI_000788,PRD_0017,2025-07-17,App Móvil,False
INT_000277,CLI_000172,PRD_0039,2025-04-28,Digital,True
INT_000278,CLI_000401,PRD_0028,2025-06-21,Sucursal,True
INT_000279,CLI_000601,PRD_0012,2025-07-16,App Móvil,False
INT_000280,CLI_000283,PRD_0022,2025-03-17,Call Center,False
INT_000281,CLI_000703,PRD_0028,2024-11-05,Sucursal,False
INT_000282,CLI_000528,PRD_0039,2025-08-31,Call Center,False
INT_000283,CLI_000242,PRD_0001,2025-02-22,App Móvil,False
INT_000284,CLI_000248,PRD_0027,2025-06-03,App Móvil,False
INT_000285,CLI_000083,PRD_0047,2025-08-20,Call Center,True
INT_000286,CLI_000289,PRD_0007,2025-08-05,Digital,False
INT_000287,CLI_000571,PRD_0033,2024-11-26,Call Center,False
INT_000288,CLI_000905,PRD_0009,2024-10-27,App Móvil,True
INT_000289,CLI_000163,PRD_0007,2025-07-06,Digital,False
INT_000290,CLI_000470,PRD_0028,2024-10-06,App Móvil,True
INT_000291,CLI_000430,PRD_0021,2025-09-28,Digital,True
INT_000292,CLI_000984,PRD_0048,2025-04-09,Call Center,True
INT_000293,CLI_000941,PRD_0024,2025-05-24,Sucursal,False
INT_000294,CLI_000960,PRD_0011,2025-07-31,App Móvil,True
INT_000295,CLI_000348,PRD_0022,2025-05-19,Sucursal,False
INT_000296,CLI_000161,PRD_0028,2025-08-04,Sucursal,False
INT_000297,CLI_000206,PRD_0004,2025-09-18,Digital,False
INT_000298,CLI_000462,PRD_0002,2025-02-26,Sucursal,True
INT_000299,CLI_000495,PRD_0037,2025-09-01,Call Center,True
INT_000300,CLI_000658,PRD_0012,2024-12-12,Digital,True
INT_000301,CLI_000747,PRD_0048,2025-01-22,Sucursal,False
INT_000302,CLI_000271,PRD_0008,2025-04-02,App Móvil,False
INT_000303,CLI_000917,PRD_0003,2024-12-17,App Móvil,True
INT_000304,CLI_000565,PRD_0015,2025-07-15,Digital,True
INT_000305,CLI_000729,PRD_0047,2025-08-12,Digital,True
INT_000306,CLI_000268,PRD_0035,2024-10-23,App Móvil,False
INT_000307,CLI_000548,PRD_0039,2025-06-09,Call Center,False
INT_000308,CLI_000142,PRD_0027,2025-10-02,Call Center,False
INT_000309,CLI_000349,PRD_0019,2025-09-27,App Móvil,True
INT_000310,CLI_000843,PRD_0018,2025-02-04,Call Center,True
INT_000311,CLI_000046,PRD_0036,2025-07-19,Sucursal,True
INT_000312,CLI_000468,PRD_0001,2025-09-15,Sucursal,True
INT_000313,CLI_000700,PRD_0010,2024-10-03,Call Center,False
INT_000314,CLI_000046,PRD_0011,2025-03-03,Sucursal,False
INT_000315,CLI_000636,PRD_0009,2025-05-29,App Móvil,True
INT_000316,CLI_000616,PRD_0042,2025-04-23,Call Center,False
INT_000317,CLI_000364,PRD_0004,2025-08-25,Sucursal,True
INT_000318,CLI_000198,PRD_0010,2025-08-03,Call Center,False
INT_000319,CLI_000202,PRD_0024,2025-09-07,Digital,True
INT_000320,CLI_000734,PRD_0018,2025-01-12,App Móvil,True
INT_000321,CLI_000191,PRD_0028,2025-03-12,Digital,False
INT_000322,CLI_000076,PRD_0011,2025-02-07,Sucursal,True
INT_000323,CLI_000423,PRD_0023,2025-04-27,Digital,False
INT_000324,CLI_000838,PRD_0035,2024-12-24,Digital,True
INT_000325,CLI_000131,PRD_0030,2025-03-29,Digital,False
INT_000326,CLI_000835,PRD_0007,2024-12-19,Sucursal,True
INT_000327,CLI_000220,PRD_0034,2024-11-19,Call Center,False
INT_000328,CLI_000683,PRD_0040,2025-03-29,Call Center,True
INT_000329,CLI_000385,PRD_0020,2025-01-24,App Móvil,False
INT_000330,CLI_000968,PRD_0010,2025-06-25,App Móvil,False
INT_000331,CLI_000904,PRD_0026,2024-12-28,Sucursal,False
INT_000332,CLI_000545,PRD_0002,2025-05-31,Digital,False
INT_000333,CLI_000069,PRD_0049,2025-03-08,App Móvil,True
INT_000334,CLI_000250,PRD_0047,2024-12-30,Sucursal,True
INT_000335,CLI_000552,PRD_0050,2024-10-13,Digital,False
INT_000336,CLI_000797,PRD_0047,2025-04-15,App Móvil,False
INT_000337,CLI_000969,PRD_0033,2024-11-01,Sucursal,True
INT_000338,CLI_000439,PRD_0040,2025-04-29,Sucursal,False
INT_000339,CLI_000112,PRD_0036,2025-01-05,Digital,True
INT_000340,CLI_000659,PRD_0005,2025-03-03,Call Center,False
INT_000341,CLI_000856,PRD_0007,2025-09-03,Call Center,True
INT_000342,CLI_000912,PRD_0022,2025-07-23,Sucursal,False
INT_000343,CLI_000112,PRD_0001,2025-08-17,Digital,False
INT_000344,CLI_000635,PRD_0040,2025-06-07,Call Center,True
INT_000345,CLI_000060,PRD_0015,2025-01-10,Sucursal,False
INT_000346,CLI_000661,PRD_0022,2025-03-27,App Móvil,True
INT_000347,CLI_000465,PRD_0031,2025-08-21,Digital,False
INT_000348,CLI_000329,PRD_0050,2025-01-18,App Móvil,False
INT_000349,CLI_000078,PRD_0014,2025-03-16,Sucursal,True
INT_000350,CLI_000323,PRD_0038,2024-12-17,Digital,True
INT_000351,CLI_000670,PRD_0033,2024-10-29,App Móvil,True
INT_000352,CLI_000748,PRD_0025,2025-06-04,Digital,False
INT_000353,CLI_000693,PRD_0030,2025-04-25,Sucursal,True
INT_000354,CLI_000056,PRD_0034,2025-03-16,Call Center,False
INT_000355,CLI_000650,PRD_0033,2025-04-19,Sucursal,False
INT_000356,CLI_000244,PRD_0044,2025-05-17,App Móvil,True
INT_000357,CLI_000968,PRD_0039,2025-06-22,App Móvil,True
INT_000358,CLI_000522,PRD_0005,2024-12-08,Call Center,True
INT_000359,CLI_000199,PRD_0023,2025-08-10,Call Center,True
INT_000360,CLI_000380,PRD_0021,2025-02-07,Sucursal,True
INT_000361,CLI_000123,PRD_0003,2025-08-03,Digital,True
INT_000362,CLI_000358,PRD_0046,2025-06-19,Digital,False
INT_000363,CLI_000941,PRD_0037,2025-02-08,Sucursal,False
INT_000364,CLI_000740,PRD_0041,2025-08-03,Call Center,True
INT_000365,CLI_000037,PRD_0028,2024-10-17,App Móvil,True
INT_000366,CLI_000957,PRD_0008,2024-10-08,Sucursal,True
INT_000367,CLI_000655,PRD_0035,2025-09-13,Call Center,False
INT_000368,CLI_000826,PRD_0008,2025-04-19,Call Center,True
INT_000369,CLI_000585,PRD_0007,2024-10-04,Digital,True
INT_000370,CLI_000849,PRD_0020,2025-04-04,App Móvil,True
INT_000371,CLI_000067,PRD_0009,2025-09-08,App Móvil,True
INT_000372,CLI_000026,PRD_0021,2025-05-23,Call Center,False
INT_000373,CLI_000270,PRD_0022,2025-07-06,Call Center,False
INT_000374,CLI_000218,PRD_0047,2025-03-10,Call Center,True
INT_000375,CLI_000878,PRD_0019,2024-12-23,Digital,False
INT_000376,CLI_000042,PRD_0010,2025-05-29,App Móvil,False
INT_000377,CLI_000753,PRD_0044,2025-08-12,Call Center,True
INT_000378,CLI_000602,PRD_0037,2025-07-24,Digital,False
INT_000379,CLI_000068,PRD_0032,2025-09-02,Sucursal,True
INT_000380,CLI_000723,PRD_0007,2025-06-12,Digital,False
INT_000381,CLI_000176,PRD_0019,2025-03-12,Call Center,True
INT_000382,CLI_000889,PRD_0037,2024-11-15,Call Center,True
INT_000383,CLI_000662,PRD_0026,2025-08-21,App Móvil,False
INT_000384,CLI_000549,PRD_0025,2025-05-24,App Móvil,False
INT_000385,CLI_000270,PRD_0028,2025-08-26,Call Center,False
INT_000386,CLI_000915,PRD_0049,2025-08-31,Sucursal,True
INT_000387,CLI_000812,PRD_0046,2024-11-07,App Móvil,True
INT_000388,CLI_000616,PRD_0036,2025-07-30,Call Center,False
INT_000389,CLI_000519,PRD_0028,2025-04-17,App Móvil,True
INT_000390,CLI_000756,PRD_0026,2025-02-09,Sucursal,True
INT_000391,CLI_000712,PRD_0048,2024-12-14,App Móvil,True
INT_000392,CLI_000805,PRD_0046,2025-03-15,App Móvil,True
INT_000393,CLI_000368,PRD_0005,2025-03-22,App Móvil,False
INT_000394,CLI_000146,PRD_0034,2025-07-07,App Móvil,False
INT_000395,CLI_000206,PRD_0025,2025-06-30,Digital,True
INT_000396,CLI_000253,PRD_0008,2025-02-17,Sucursal,False
INT_000397,CLI_000850,PRD_0025,2025-09-16,Call Center,False
INT_000398,CLI_000993,PRD_0049,2024-11-22,Digital,False
INT_000399,CLI_000658,PRD_0036,2025-05-05,Digital,True
INT_000400,CLI_000249,PRD_0023,2024-12-26,Digital,False
INT_000401,CLI_000971,PRD_0042,2025-08-20,Digital,False
INT_000402,CLI_000620,PRD_0010,2025-07-25,Sucursal,True
INT_000403,CLI_000285,PRD_0029,2024-11-08,Sucursal,True
INT_000404,CLI_000473,PRD_0025,2025-01-07,App Móvil,False
INT_000405,CLI_000597,PRD_0016,2024-12-29,Digital,True
INT_000406,CLI_000183,PRD_0013,2025-03-22,Digital,False
